,Date,County,Total Cases,New Cases,New Deaths,Total Deaths,New Recovered,Total Recovered,New Active,Total Active,New Inactive Recovered,Total Inactive Recovered,New Hospitalized,Total Hospitalized
2,2020-03-06,Davidson,,,,,,,,,,,,
5,2020-03-08,Davidson,1.0,,,,,,,,,,,
8,2020-03-09,Davidson,1.0,0.0,,,,,,,,,,
15,2020-03-10,Davidson,2.0,1.0,,,,,,,,,,
21,2020-03-11,Davidson,2.0,0.0,,,,,,,,,,
29,2020-03-12,Davidson,6.0,4.0,,,,,,,,,,
37,2020-03-13,Davidson,10.0,4.0,,,,,,,,,,
52,2020-03-14,Davidson,14.0,4.0,,,,,,,,,,
65,2020-03-15,Davidson,17.0,3.0,,,,,,,,,,
80,2020-03-16,Davidson,25.0,8.0,,,,,,,,,,
107,2020-03-17,Davidson,42.0,17.0,,,,,,,,,,
138,2020-03-18,Davidson,58.0,16.0,,,,,,,,,,
165,2020-03-19,Davidson,75.0,17.0,,,,,,,,,,
210,2020-03-20,Davidson,101.0,26.0,,,,,,,,,,
252,2020-03-21,Davidson,140.0,39.0,,,,,,,,,,
294,2020-03-22,Davidson,167.0,27.0,,,,,,,,,,
346,2020-03-23,Davidson,164.0,-3.0,,,,,,,,,,
403,2020-03-24,Davidson,183.0,19.0,,,,,,,,,,
462,2020-03-25,Davidson,188.0,5.0,,,,,,,,,,
528,2020-03-26,Davidson,203.0,15.0,,,,,,,,,,
594,2020-03-27,Davidson,216.0,13.0,,,,,,,,,,
662,2020-03-28,Davidson,243.0,27.0,,,,,,,,,,
735,2020-03-29,Davidson,260.0,17.0,,,,,,,,,,
808,2020-03-30,Davidson,364.0,104.0,,,,,,,,,,
895,2020-03-31,Davidson,391.0,27.0,,,,,,391.0,,,,
992,2020-04-01,Davidson,423.0,32.0,,4.0,,,28.0,419.0,,,,
1089,2020-04-02,Davidson,617.0,194.0,2.0,6.0,,,192.0,611.0,,,,
1186,2020-04-03,Davidson,685.0,68.0,0.0,6.0,,,68.0,679.0,,,,
1283,2020-04-04,Davidson,741.0,56.0,0.0,6.0,,,62.0,741.0,,,,
1380,2020-04-05,Davidson,801.0,60.0,0.0,6.0,,,53.0,794.0,,,,
1477,2020-04-06,Davidson,819.0,18.0,1.0,7.0,,,18.0,812.0,,,,
1574,2020-04-07,Davidson,888.0,69.0,2.0,9.0,,,67.0,879.0,,,,
1671,2020-04-08,Davidson,946.0,58.0,4.0,13.0,,,54.0,933.0,,,,
1768,2020-04-09,Davidson,1004.0,58.0,0.0,13.0,,,58.0,991.0,,,,
1865,2020-04-10,Davidson,1048.0,44.0,0.0,13.0,,204.0,-160.0,831.0,,,,
1962,2020-04-11,Davidson,1111.0,63.0,0.0,13.0,47.0,251.0,16.0,847.0,,,,
2059,2020-04-12,Davidson,1178.0,67.0,0.0,13.0,28.0,279.0,39.0,886.0,,,,
2156,2020-04-13,Davidson,1207.0,29.0,3.0,16.0,12.0,291.0,14.0,900.0,,,,
2253,2020-04-14,Davidson,1237.0,30.0,2.0,18.0,16.0,307.0,12.0,912.0,,,,
2350,2020-04-15,Davidson,1283.0,46.0,1.0,19.0,17.0,324.0,28.0,940.0,,,,
2447,2020-04-16,Davidson,1307.0,24.0,0.0,19.0,380.0,704.0,-356.0,584.0,,,,
2544,2020-04-17,Davidson,1465.0,158.0,0.0,19.0,49.0,753.0,109.0,693.0,,,,
2641,2020-04-18,Davidson,1531.0,66.0,0.0,19.0,21.0,774.0,45.0,738.0,,,,
2738,2020-04-19,Davidson,1638.0,107.0,0.0,19.0,17.0,791.0,90.0,828.0,,,,
2835,2020-04-20,Davidson,1675.0,37.0,0.0,19.0,52.0,843.0,-15.0,813.0,,,,
2932,2020-04-21,Davidson,1719.0,44.0,1.0,20.0,37.0,880.0,6.0,819.0,,,,
3029,2020-04-22,Davidson,1872.0,153.0,0.0,20.0,32.0,912.0,121.0,940.0,,,,
3126,2020-04-23,Davidson,1934.0,62.0,1.0,21.0,30.0,942.0,31.0,971.0,,,,
3223,2020-04-24,Davidson,2011.0,77.0,0.0,21.0,73.0,1015.0,4.0,975.0,,,,
